AZN.L,HSBA.L,RMV.L
1079.320313,310.441956,38.212563
1089.37439,311.743195,37.67852
1060.719971,307.653534,36.076447
1090.88269,309.698334,35.047951
1123.056396,308.768951,35.839092
1156.737793,307.839417,33.623882
1154.727051,302.63443,33.920563
1165.283936,302.262634,33.861217
1160.256714,301.518982,32.872292
1119.537231,287.205353,31.626219
1155.7323,280.141144,29.668135
1155.229736,282.371979,29.925261
1178.857056,282.743805,30.854853
1115.012817,264.712128,29.134117
1106.466919,275.122253,30.498833
1092.893677,280.699005,31.487774
1114.51001,290.179504,33.228306
1095.90979,286.647552,32.832733
1081.331299,281.070679,32.81295
1095.90979,284.974548,33.900772
1065.747437,280.699005,34.434803
1052.676636,279.397766,34.494144
1048.152344,287.577026,33.762333
1055.19043,289.250031,34.09856
1038.098022,282.186127,34.019451
1054.054443,277.72464,34.494144
1028.586792,271.590149,34.474373
1011.954651,274.006927,34.29636
1002.59906,264.898041,34.67215
1016.112488,276.98114,35.522629
1037.422485,277.352875,36.867599
1010.915405,277.72464,38.726807
1015.592896,271.404297,38.212563
1039.501221,279.955505,39.636623
1051.455566,281.070679,39.992638
1038.461914,277.166992,39.181713
1058.212402,279.583618,40.190434
1043.139526,279.955505,39.636623
1038.981689,286.647552,40.348663
1043.139526,296.871704,42.722103
1029.106323,296.499817,41.73317
1003.638733,289.993622,41.851852
983.888184,284.788666,39.715736
976.091919,293.711487,39.636623
964.137695,285.904144,39.636623
972.973389,293.153717,39.557507
957.38092,285.160492,39.953083
962.578247,282.000214,38.687244
946.465942,286.089874,38.667461
952.703064,293.8974,37.836761
984.927612,295.756409,39.082821
958.940125,289.06424,39.359722
930.354004,283.487427,38.964146
908.524231,277.352875,37.381844
929.833984,297.429321,37.737858
957.38092,304.522247,37.223621
976.611511,307.380585,37.025822
1004.158569,315.193756,38.548786
958.940125,309.667358,39.142151
970.374634,312.907013,39.557507
960.499634,313.66925,39.478397
979.210327,316.337189,38.707024
1046.777954,328.152283,39.399281
1064.968994,329.86731,39.161919
1065.489136,325.10318,39.0037
1096.673828,324.15033,38.627907
1083.680176,326.437164,37.164276
1050.416138,326.627686,35.99733
1052.495239,326.246521,36.077507
1058.212402,327.389954,36.117584
1040.02124,325.674896,35.937206
1029.625977,320.148499,34.514156
1102.910889,320.529663,33.732468
1110.187378,324.531494,34.834827
1078.482788,320.910828,34.514156
1083.160278,326.056,35.576431
1091.476563,323.197601,35.676647
1079.522217,322.625854,34.854877
1108.108521,323.769104,34.674492
1101.871582,325.865387,33.111137
