AZN.L,HSBA.L,RMV.L
2471.13208,367.373688,241.098312
2490.231689,365.535889,242.065811
2499.260742,367.54071,246.727753
2474.258057,376.339417,246.463852
2465.229248,375.61554,238.459564
2481.203125,372.051483,235.116989
2536.417725,376.228119,235.292984
2544.405029,377.00766,233.973526
2608.301758,374.724609,235.556824
2670.46167,379.235138,235.38092
2690.603516,375.281342,232.566177
2691.298096,377.397522,227.288574
2722.552002,374.780182,228.080246
2741.304443,375.281342,227.288574
2732.275146,372.497009,227.112686
2750.332764,366.983917,223.330399
2702.410156,359.688629,217.085251
2677.754883,353.674438,217.261154
2684.352783,352.950562,221.923065
2671.50415,348.773865,223.154495
2689.90918,350.945709,223.858154
2679.837646,349.163727,222.714661
2689.214111,346.100922,225.969193
2674.62915,347.827209,226.936737
2692.686768,347.548615,228.607971
2649.973633,349.776245,233.621704
2680.880615,349.609161,235.996628
2719.078857,347.548615,236.348434
2760.403564,353.841553,240.746429
2779.850098,354.398407,241.626083
2816.6604,355.400726,244.264893
2816.313232,355.289337,238.987259
2828.814941,360.579742,238.811356
2842.358154,365.480316,241.538116
2850.437012,365.647308,241.274216
2856.871094,363.141449,243.561188
2879.391357,364.31076,242.241745
2931.224121,354.008575,233.973526
2927.649658,349.163727,232.654144
2913.350098,349.21936,230.015366
2933.368652,354.119965,230.894958
2919.785156,350.667328,242.329742
2855.441162,346.713379,236.436432
2917.282715,351.781036,238.2836
2887.970703,346.713379,241.01033
2867.595215,348.439728,239.866898
2849.006836,345.042755,237.667938
2852.223877,342.87088,233.797684
2871.169189,343.372101,235.116989
2861.160645,339.907227,230.982956
2844.717041,338.772797,231.598572
2797.531738,339.283173,231.510666
2838.640625,338.65921,236.788284
2844.359863,339.169678,234.325348
2843.645508,335.709351,234.941132
2818.264893,337.070984,232.742203
2808.969971,343.594421,234.765182
2763.930176,343.878113,229.311661
2782.518066,346.998077,229.75148
2795.387451,346.714417,231.9505
2795.387451,345.069366,229.047791
2815.047852,346.601044,229.22374
2771.436279,344.61554,232.038391
2805.75293,347.735596,231.422714
2823.984375,346.714417,231.070892
2800.749023,346.317352,229.575516
2804.681152,347.451813,224.737762
2765.002441,343.878113,217.876862
2724.250977,343.197388,212.071503
2724.966309,347.565369,216.82135
2743.196777,350.968994,213.390945
2702.803467,350.345001,208.72905
2670.98877,352.50061,202.39592
2661.694336,350.515106,202.747742
2687.074707,349.607513,209.872543
2703.518066,350.231537,210.840088
2831.133789,348.813293,212.511292
2890.115479,347.281769,213.566833
2984.843994,347.735596,211.19194
2916.924805,341.779205,206.705963
3336.233643,340.871552,210.048431
3311.925537,346.657623,212.335403
3334.446045,342.686859,211.983551
3442.401367,344.558868,214.358444
3437.396484,343.594421,214.446411
3344.097656,342.686859,212.951111
3310.853271,338.375671,209.496414
3369.477783,336.843933,212.331024
3289.047363,338.091949,213.394028
3295.8396,343.934937,209.939346
3318.718262,346.601044,209.673569
3327.296387,350.288269,202.498459
3379.12915,354.542786,194.880402
3448.478027,358.797272,186.90802
3065.273926,359.02417,190.451294
3080.287109,355.733978,200.815369
3160.002197,354.174744,206.396057
3056.337158,352.800201,206.130295
3094.22876,352.055969,206.48468
3039.894043,355.720764,207.28186
3042.039063,360.301849,200.372498
3065.631104,359.557465,201.966949
3062.414551,360.301849,203.029953
3124.613281,358.927612,203.029953
3109.241699,357.324158,195.854813
3108.884766,356.751526,196.917786
3071.351318,355.548981,195.943375
3094.22876,357.324158,196.740616
3093.513672,359.78653,197.27211
3108.527588,357.839447,194.791809
3145.703857,355.548981,193.108749
3161.790283,355.606171,192.843018
3134.97998,352.972076,188.59108
3115.676514,350.452545,189.122604
3121.396973,350.509735,192.134323
3142.486572,349.364441,194.880402
3177.160156,349.479034,193.108749
3195.749023,348.963684,193.640259
3126.758301,347.245789,190.805618
3112.101563,346.673126,188.325348
3118.536865,344.49707,184.782074
3106.740234,340.488647,189.9198
3124.256348,341.862946,189.654083
3103.165039,339.515198,189.9198
3123.898193,342.55011,192.311523
3158.930176,344.325195,193.728821
3162.147217,347.646576,200.46106
3158.215332,347.761047,204.358673
3182.165283,345.470642,201.966949
3118.536865,340.431305,191.957199
3118.179443,341.576691,188.413895
3106.382324,337.281921,184.162003
3112.459229,339.171478,186.022186
3123.898193,343.237305,190.451294
3134.622559,341.63382,188.76825
3124.970215,346.501312,189.56546
3084.577881,343.122772,192.311523
3102.807861,343.122772,192.311523
3138.554199,341.920166,193.374512
3164.291748,346.38681,195.146149
3160.717773,347.761047,190.451294
3163.219727,355.606171,194.703247
3139.984863,356.00708,192.222931
3117.821289,361.27533,195.58905
3090.296875,365.054688,200.638214
3115.319092,367.345184,197.892197
3106.025146,364.424805,201.524063
3101.73584,360.359009,197.626434
3118.893311,363.623108,197.626434
3106.740234,363.050507,196.209137
2995.567871,361.962372,196.829193
2994.852783,360.015503,198.512238
2938.016113,359.328369,199.752411
2960.178711,358.412079,204.44725
2951.957031,360.817169,203.472824
2970.497803,365.512817,205.598816
2966.514893,373.014282,213.659775
2963.979492,368.49054,212.862503
3042.922119,369.922028,213.836945
3069.719727,371.296356,217.64595
3103.397217,370.465179,220.214844
3195.014648,370.52301,221.986496
3199.721924,372.430786,219.949097
3235.571533,375.03244,222.340836
3222.174316,375.379242,222.69516
3244.262939,374.049591,224.112473
3307.634521,376.940186,223.226685
3315.239258,374.338562,223.935303
3288.803955,374.10733,219.683365
3314.877441,380.351135,217.203049
3300.030029,381.680817,218.00029
3297.495605,381.796539,217.734543
3311.256104,382.779327,212.773941
3315.239258,381.854309,209.053513
3329.362061,382.143433,206.130295
3287.355713,378.327759,205.598816
3275.043701,380.062164,206.927567
3291.701904,380.524567,208.699173
3267.438721,381.102692,208.61058
3254.040283,379.599579,207.016129
3285.546143,382.663757,208.344849
3315.963135,383.646484,213.925491
3315.239258,380.235596,209.939346
3196.825195,376.766846,205.953171
3183.787842,377.51828,200.018143
3167.855225,373.760498,193.020187
3192.842041,375.899567,193.728821
3220.000977,367.112061,193.640259
3216.741699,361.966675,190.628464
3158.076904,358.729156,189.9198
3099.414063,354.913513,184.162003
3159.164551,365.493286,184.073395
